module,source_set,api,source,line,android,desktop,composable,required_parameters,state_parameters,callbacks_or_builders,compose_slots,all_parameters_with_defaults
cupertino,commonMain,CupertinoActivityIndicator,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoActivityIndicator.kt,62,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,"modifier: Modifier = Modifier; size : Dp = CupertinoActivityIndicatorDefaults.MinSize; color: Color = CupertinoColors.Gray; count: Int = CupertinoActivityIndicatorDefaults.PathCount; innerRadius : Float = 1/3f; strokeWidth : Dp = Dp.Unspecified; animationSpec: InfiniteRepeatableSpec<Float> = infiniteRepeatable(         animation = tween(             durationMillis = CupertinoActivityIndicatorDefaults.DurationMillis,             easing = LinearEasing,         ),         repeatMode = RepeatMode.Restart,     ); minAlpha: Float = CupertinoActivityIndicatorDefaults.MinAlpha"
cupertino,commonMain,CupertinoActivityIndicator,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoActivityIndicator.kt,165,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,"modifier: Modifier = Modifier; progress : Float = 1f; size : Dp = CupertinoActivityIndicatorDefaults.MinSize; color: Color = CupertinoColors.Gray; count: Int = CupertinoActivityIndicatorDefaults.PathCount; innerRadius : Float = 1/3f; strokeWidth : Dp = Dp.Unspecified; animationSpec: InfiniteRepeatableSpec<Float> = infiniteRepeatable(         animation = tween(             durationMillis = CupertinoActivityIndicatorDefaults.DurationMillis,             easing = LinearEasing,         ),         repeatMode = RepeatMode.Restart,     ); minAlpha: Float = CupertinoActivityIndicatorDefaults.MinAlpha"
cupertino,commonMain,CupertinoBottomAppBar,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomAppBar.kt,39,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,content: @Composable RowScope.() -> Unit,,,content: @Composable RowScope.() -> Unit,modifier: Modifier = Modifier; isTranslucent : Boolean = true; isTransparent : Boolean = false; containerColor: Color = CupertinoNavigationBarDefaults.containerColor; contentColor: Color = CupertinoTheme.colorScheme.accent; contentPadding: PaddingValues = CupertinoSectionDefaults.PaddingValues; windowInsets: WindowInsets = WindowInsets.navigationBars; content: @Composable RowScope.() -> Unit
cupertino,commonMain,CupertinoBottomSheetContent,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,70,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,content : @Composable (PaddingValues) -> Unit,,,topBar : @Composable () -> Unit = {}; bottomBar : @Composable () -> Unit = {}; content : @Composable (PaddingValues) -> Unit,modifier: Modifier = Modifier; containerColor: Color = LocalContainerColor.current.takeOrElse {         CupertinoBottomSheetDefaults.containerColor     }; contentColor: Color = LocalContentColor.current.takeOrElse {         CupertinoBottomSheetDefaults.contentColor     }; appBarsAlpha : Float = LocalAppBarsBlurAlpha.current; appBarsBlurRadius : Dp = LocalAppBarsBlurRadius.current; hasNavigationTitle : Boolean = false; topBar : @Composable () -> Unit = {}; bottomBar : @Composable () -> Unit = {}; content : @Composable (PaddingValues) -> Unit
cupertino,commonMain,CupertinoBottomSheetDefaults.DragHandle,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,132,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,modifier: Modifier = Modifier; width: Dp = DragHandleWidth; height: Dp = DragHandleHeight; shape: Shape = CircleShape; color: Color = CupertinoTheme.colorScheme.systemFill
cupertino,commonMain,PresentationDetent.calculate,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,184,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,density: Density; height: Float,,,,density: Density; height: Float
cupertino,commonMain,PresentationDetent.Large.calculate,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,193,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,density: Density; height: Float,,,,density: Density; height: Float
cupertino,commonMain,PresentationDetent.Height.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,214,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationDetent.Height.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,218,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,PresentationDetent.Height.calculate,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,222,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,density: Density; height: Float,,,,density: Density; height: Float
cupertino,commonMain,PresentationDetent.Height.toString,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,226,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationDetent.Fraction.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,246,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationDetent.Fraction.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,250,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,PresentationDetent.Fraction.toString,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,254,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationDetent.Fraction.calculate,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,258,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,density: Density; height: Float,,,,density: Density; height: Float
cupertino,commonMain,CupertinoSheetValue.PartiallyExpanded.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,282,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,CupertinoSheetValue.PartiallyExpanded.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,286,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetValue.PartiallyExpanded.toString,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,290,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationStyle.Modal.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,337,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,PresentationStyle.Modal.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,351,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,PresentationStyle.Modal.toString,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,359,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetState.requireOffset,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,431,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetState.expand,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,449,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetState.partialExpand,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,459,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,detent : PresentationDetent,,,,detent : PresentationDetent
cupertino,commonMain,CupertinoSheetState.show,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,475,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetState.hide,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,491,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoSheetState.Companion.Saver,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,553,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,confirmValueChange: (CupertinoSheetValue) -> Boolean,,confirmValueChange: (CupertinoSheetValue) -> Boolean,,presentationStyle: PresentationStyle = PresentationStyle.Modal(); confirmValueChange: (CupertinoSheetValue) -> Boolean
cupertino,commonMain,rememberCupertinoSheetState,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheet.kt,569,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,confirmValueChange: (CupertinoSheetValue) -> Boolean = { true },,initialValue: CupertinoSheetValue = CupertinoSheetValue.Hidden; presentationStyle: PresentationStyle = PresentationStyle.Modal(); confirmValueChange: (CupertinoSheetValue) -> Boolean = { true }
