module,declaration,path,line,android,desktop
cupertino,public val CupertinoIcons.Filled.Bell: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Bell.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Cart: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Cart.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.CheckmarkCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/CheckmarkCircle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Envelope: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Envelope.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.ExclamationmarkTriangle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ExclamationmarkTriangle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Gearshape: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Gearshape.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.HandThumbsup: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/HandThumbsup.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Heart: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Heart.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.House: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/House.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.InfoCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/InfoCircle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Location: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Location.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Lock: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Lock.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Paperplane: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Paperplane.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Person: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Person.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.PersonCropCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/PersonCropCircle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.PersonCropSquare: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/PersonCropSquare.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Phone: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Phone.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Play: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Play.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.PlusCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/PlusCircle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.RectanglePortraitAndArrowForward: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/RectanglePortraitAndArrowForward.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.SquareAndArrowUp: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/SquareAndArrowUp.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Star: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Star.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.Trash: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Trash.kt,31,common source,common source
cupertino,public val CupertinoIcons.Filled.XmarkCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/XmarkCircle.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ArrowClockwise: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ArrowClockwise.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ArrowUturnLeft: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ArrowUturnLeft.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ArrowUturnRight: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ArrowUturnRight.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Bell: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Bell.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Calendar: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Calendar.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Cart: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Cart.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Checkmark: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Checkmark.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.CheckmarkCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/CheckmarkCircle.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.ChevronBackward: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ChevronBackward.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ChevronDown: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ChevronDown.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ChevronForward: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ChevronForward.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ChevronUp: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ChevronUp.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Ellipsis: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Ellipsis.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.Envelope: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Envelope.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.ExclamationmarkTriangle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ExclamationmarkTriangle.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.FaceSmiling: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/FaceSmiling.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.Gearshape: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Gearshape.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.HandThumbsup: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/HandThumbsup.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Heart: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Heart.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.House: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/House.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.InfoCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/InfoCircle.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.ListBullet: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/ListBullet.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.Location: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Location.kt,31,common source,common source
